D-X28,倒U型内部驱动力函数,candidate,1912444676579562048,1912444676579562048_内部驱动力非线性.md,collision_layer,"P_internal(ε) = k × ε × exp(-ε/ε_opt) | ε_opt = θ_resist / E_external | B_ignite = σ(k × ε × exp(-ε/ε_opt) × E_external - θ_ignite) | W_ignite = θ_resist/E_external - ε_aware_min | 这个发现修正了勒温场动力学的假设——B = f(P,E)里P不是P = k×ε，而是P = k×ε×exp(-ε/ε_opt)。倒U型的物理直觉很清楚：完全麻木的人点不着，完全清醒的人不需要你点。能点着的，是那些""隐约觉得不对但说不清楚""的人——犹豫域刚好在那个窗口里。",unknown,unknown,,medium,candidate,,,2026-06-10T14:55:30.775762+00:00,2026-06-10T14:55:30.775777+00:00
D-X29,点火窗口宽度函数,candidate,1912444676579562048,1912444676579562048_内部驱动力非线性.md,collision_layer,"W_ignite = θ_resist/E_external - ε_aware_min | 这个发现修正了勒温场动力学的假设——B = f(P,E)里P不是P = k×ε，而是P = k×ε×exp(-ε/ε_opt)。倒U型的物理直觉很清楚：完全麻木的人点不着，完全清醒的人不需要你点。能点着的，是那些""隐约觉得不对但说不清楚""的人——犹豫域刚好在那个窗口里。",unknown,unknown,,medium,candidate,,,2026-06-10T14:55:30.775878+00:00,2026-06-10T14:55:30.775889+00:00
D-X25,跨层完整退化函数,candidate,1912444306136903584,1912444306136903584_犹豫域退化链.md,collision_layer,ε_group(t) = [(α₀-β₀) + k_α·H - m_α·ε_aware - k_β·C̄/θ_C + m_β·(1-Posture_deg)] × (1-p_stubborn) × (1-clustering) | D-X17：narrative_disruption = I × ε_aware × D_immune | D-X22：R_resist = σ(E_external - θ_resist) × ε,unknown,unknown,,medium,candidate,,,2026-06-10T14:55:30.779082+00:00,2026-06-10T14:55:30.779285+00:00
D-X26,点火对冲函数,prediction_function,1912444306136903584,1912444306136903584_犹豫域退化链.md,collision_layer,P_ignite_total = I × ε_aware × D_immune × (1 - σ(E-θ_resist) × ε) | 逆Weibull分布的CDF：F(t) = exp(-(θ/t)^β)，t > 0 | - β = 1：常数失效率（指数分布）,unknown,unknown,,medium,candidate,,,2026-06-10T14:55:30.779448+00:00,2026-06-10T14:55:30.779458+00:00
D-X27,逆Weibull寿命验证函数,prediction_function,1912444306136903584,1912444306136903584_犹豫域退化链.md,collision_layer,"F(t) = exp(-(θ/t)^β)，预测β > 1（退化加速型） | β_system = β₀ + γ × n_lock_avg（锁定维度与老化速率的回归） | D-X26那个分裂挺有意思——点火需要ε_aware高但ε不太高，这跟直觉相反。直觉会觉得""犹豫域越宽越好""，但函数说不是——犹豫域太宽的人反弹太强，叙事传不进去。真正能点火的是""感知到退出权但还没形成抵抗""的那个窄窗口。这跟勒温场动力学里P_internal = k×ε的假设有张力——P_internal不只是ε的单调函数，有个最优区间。",unknown,unknown,,medium,candidate,,,2026-06-10T14:55:30.779958+00:00,2026-06-10T14:55:30.779973+00:00
D-X30,统一内部驱动力函数,candidate,1912444841934754368,1912444841934754368_点火碰撞层未展开项展开与函数化第二轮_20260610.md,collision_layer,"P_internal(ε, E) = k×ε×exp(-ε/ε_opt) - R_identity×σ(E-θ_identity) | ## 二、ε_eff闭环动力学的函数化 | **ε_eff(t+1) = ε_eff(t) × (1 - F_collapse(t))** | F_collapse = 1 - Π(1-f_i) | - f₃ = ε_aware归零概率（感知退出权）",unknown,unknown,,medium,candidate,,,2026-06-10T16:07:32.402982+00:00,2026-06-10T16:07:32.402990+00:00
D-X31,ε_eff闭环动力学函数,candidate,1912444841934754368,1912444841934754368_点火碰撞层未展开项展开与函数化第二轮_20260610.md,collision_layer,新增碰撞层派生 D-X31：ε_eff闭环动力学函数** | ε_eff(t+1) = ε_eff(t) × (1-f_表达) × (1-f_感知) × (1-f_免疫) | 来源：偏好伪造崩塌笔记给出dP_public/dt = λ×P_public×(1-S)×P_private，D-X19给出k = ρ×ε_aware_avg×(1-C̄/C_max)。 | **dP_public/dt = ρ×ε_aware_avg×(1-C̄/C_max) × P_public × (1-S_silence) × P_private** | **dP_public/dt = ρ × ε_aware,unknown,unknown,,medium,candidate,,,2026-06-10T16:07:32.403067+00:00,2026-06-10T16:07:32.403072+00:00
D-X32,认知-群体犹豫域统一映射函数,candidate,1912444841934754368,1912444841934754368_点火碰撞层未展开项展开与函数化第二轮_20260610.md,collision_layer,ε_group = ⟨π⟩ / (1+α_s×modularity) × (1-p_stubborn) × (1-clustering) | **D_stacked(t) = (1-I_effective(t)) × (1-exp(-n_lock×C̄/θ_C)) × H_reclassify(t)** | - I_effective = I×(1-H_self)：提议者有效意识（扣掉自压制）,unknown,unknown,,medium,candidate,,,2026-06-10T16:07:32.403144+00:00,2026-06-10T16:07:32.403149+00:00
D-X33,三层退化叠加函数,candidate,1912444841934754368,1912444841934754368_点火碰撞层未展开项展开与函数化第二轮_20260610.md,collision_layer,D_stacked = (1-I×(1-H_self)) × (1-exp(-n_lock×C̄/θ_C)) × H_reclassify | dC_exit/dt = α_C × (Posture_deg - Posture_deg₀) × C_exit,unknown,unknown,,medium,candidate,,,2026-06-10T16:07:32.403221+00:00,2026-06-10T16:07:32.403226+00:00
D-X34,退化渗透路径函数,candidate,1912444841934754368,1912444841934754368_点火碰撞层未展开项展开与函数化第二轮_20260610.md,collision_layer,dε/dt = -m_β × α_C × (Posture_deg-Posture_deg₀) × C̄ / θ_C | ε(t) = ε₀ × exp(-m_β × α_C × ∫(Posture_deg(s)-Posture_deg₀) × C̄(s)/θ_C ds),unknown,unknown,,medium,candidate,,,2026-06-10T16:07:32.403304+00:00,2026-06-10T16:07:32.403309+00:00
D-X35,充分条件三层函数,candidate,1912444841934754368,1912444841934754368_点火碰撞层未展开项展开与函数化第二轮_20260610.md,collision_layer,P_sustain = I × (1-Posture_deg) × R × σ(ε_eff-θ) × σ(Δv) | **v_链1退化 = α₁ × Posture_deg × H(t)** | **v_链3恢复 = α₃ × ε_aware(t) × D_immune(t)** | **F_锁硬化阻力 = α_F × (2M-1) × (1-Posture_deg)** | 锁硬化阻力由动机来源和提议者退化度共同驱动。M=好奇心时(2M-1)>0,unknown,unknown,,medium,candidate,,,2026-06-10T16:07:32.403385+00:00,2026-06-10T16:07:32.403390+00:00
D-X36,速度差闭合函数,candidate,1912444841934754368,1912444841934754368_点火碰撞层未展开项展开与函数化第二轮_20260610.md,collision_layer,Δv = α₃×ε_aware×D_immune - α₁×Posture_deg×H - α_F×(2M-1)×(1-Posture_deg) | **H_narrative(t) = σ(ε_sense × ε_aware - ε_action) × H_classify(t)**,unknown,unknown,,medium,candidate,,,2026-06-10T16:07:32.403459+00:00,2026-06-10T16:07:32.403464+00:00
D-X37,H_分类升级函数,candidate,1912444841934754368,1912444841934754368_点火碰撞层未展开项展开与函数化第二轮_20260610.md,collision_layer,H_narrative = σ(ε_sense×ε_aware - ε_action) × H_classify | **P_seed(t) = σ(H_narrative(t) - θ_narrative_cost) × (1 - D_immune(t))**,unknown,unknown,,medium,candidate,,,2026-06-10T16:07:32.403530+00:00,2026-06-10T16:07:32.403535+00:00
D-X38,种子激活函数,candidate,1912444841934754368,1912444841934754368_点火碰撞层未展开项展开与函数化第二轮_20260610.md,collision_layer,P_seed = σ(H_narrative - θ_narrative_cost) × (1-D_immune) | | D-X30 | 统一内部驱动力函数 | P_internal = k×ε×exp(-ε/ε_opt) - R_identity×σ(E-θ_identity) | D-X22与崩塌笔记统一 | | | D-X31 | ε_eff闭环动力学函数 | ε_eff(t+1) = ε_eff(t)×(1-f_表达)×(1-f_感知)×(1-f_免疫) | 两元函数闭环 | | | D-X32 | 认知-群体犹豫域统一映射 | ε_group = ⟨π⟩/(1+α_s×modularity)×(1-p_stubborn)×(1-clustering) | D-X21与崩塌笔记统一 |,unknown,unknown,,medium,candidate,,,2026-06-10T16:07:32.403596+00:00,2026-06-10T16:07:32.403601+00:00
